Number Passwords: 2119
Chars: 1, Count: 10
Chars: 2, Count: 1
Chars: 3, Count: 13
Chars: 4, Count: 790
Chars: 5, Count: 908
Chars: 6, Count: 3132
Chars: 7, Count: 2182
Chars: 8, Count: 2530
Chars: 9, Count: 249
Chars: 10, Count: 106
Chars: 11, Count: 41
Chars: 12, Count: 30
Chars: 13, Count: 2
Chars: 14, Count: 2
Chars: 15, Count: 1
Chars: 16, Count: 2
Chars: 21, Count: 1
Letter: A, Count: 433
Letter: B, Count: 640
Letter: C, Count: 655
Letter: D, Count: 414
Letter: E, Count: 167
Letter: F, Count: 305
Letter: G, Count: 319
Letter: H, Count: 342
Letter: I, Count: 113
Letter: J, Count: 257
Letter: K, Count: 206
Letter: L, Count: 299
Letter: M, Count: 606
Letter: N, Count: 198
Letter: O, Count: 94
Letter: P, Count: 530
Letter: Q, Count: 98
Letter: R, Count: 362
Letter: S, Count: 904
Letter: T, Count: 380
Letter: U, Count: 38
Letter: V, Count: 143
Letter: W, Count: 223
Letter: X, Count: 21
Letter: Y, Count: 48
Letter: Z, Count: 82
